thread_id,iteration,period_ns,scheduled_ns,actual_ns,jitter_ns,work_ns,deadline_missed
1,1,10000000,2314145392693,2314145583341,190648,1001127,0
1,2,10000000,2314155392693,2314156982326,1589633,1000627,0
1,3,10000000,2314165392693,2314165572762,180069,1001086,0
1,4,10000000,2314175392693,2314176998830,1606137,1000669,0
1,5,10000000,2314185392693,2314185581433,188740,1001169,0
1,6,10000000,2314195392693,2314196999667,1606974,1000127,0
1,7,10000000,2314205392693,2314205583145,190452,1191211,0
1,8,10000000,2314215392693,2314216964921,1572228,1000711,0
1,9,10000000,2314225392693,2314225544732,152039,1000627,0
1,10,10000000,2314235392693,2314244314817,8922124,1001085,0
1,11,10000000,2314245392693,2314248243451,2850758,1001128,0
1,12,10000000,2314255392693,2314257001887,1609194,1000086,0
1,13,10000000,2314265392693,2314265576532,183839,1000835,0
1,14,10000000,2314275392693,2314277005225,1612532,1000086,0
1,15,10000000,2314285392693,2314285579952,187259,1000585,0
1,16,10000000,2314295392693,2314296979229,1586536,1000127,0
1,17,10000000,2314305392693,2314305511331,118638,1135253,0
1,18,10000000,2314315392693,2314317005274,1612581,1000627,0
1,19,10000000,2314325392693,2314325577669,184976,1001002,0
1,20,10000000,2314335392693,2314344289587,8896894,1000419,0
1,21,10000000,2314345392693,2314352222646,6829953,1000336,0
1,22,10000000,2314355392693,2314356982032,1589339,1000669,0
1,23,10000000,2314365392693,2314365571510,178817,1001086,0
1,24,10000000,2314375392693,2314376942661,1549968,1000336,0
1,25,10000000,2314385392693,2314385569889,177196,1001086,0
1,26,10000000,2314395392693,2314397024707,1632014,1000628,0
1,27,10000000,2314405392693,2314405576351,183658,1001127,0
1,28,10000000,2314415392693,2314417012044,1619351,1000293,0
1,29,10000000,2314425392693,2314425563980,171287,1001128,0
1,30,10000000,2314435392693,2314444354232,8961539,1000003,0
1,31,10000000,2314445392693,2314448286824,2894131,1000627,0
1,32,10000000,2314455392693,2314456994385,1601692,1000794,0
1,33,10000000,2314465392693,2314465536905,144212,1000377,0
1,34,10000000,2314475392693,2314476993681,1600988,1000086,0
1,35,10000000,2314485392693,2314485571326,178633,1001086,0
1,36,10000000,2314495392693,2314496984393,1591700,1000877,0
1,37,10000000,2314505392693,2314505546830,154137,1001169,0
1,38,10000000,2314515392693,2314516961606,1568913,1000627,0
1,39,10000000,2314525392693,2314525573000,180307,1001461,0
