thread_id,iteration,period_ns,scheduled_ns,actual_ns,jitter_ns,work_ns,deadline_missed
1,102,10000000,595635351902,595635384736,32834,1000875,0
1,103,10000000,595645351902,595645394653,42751,1000583,0
1,104,10000000,595655351902,595655388444,36542,1000500,0
1,105,10000000,595665351902,595665392069,40167,1000625,0
1,106,10000000,595675351902,595675388028,36126,1000500,0
1,107,10000000,595685351902,595685383903,32001,1000750,0
1,108,10000000,595695351902,595695396236,44334,1001167,0
1,109,10000000,595705351902,595705391611,39709,1000667,0
1,110,10000000,595715351902,595715387944,36042,1001458,0
1,111,10000000,595725351902,595725378528,26626,1000667,0
1,112,10000000,595735351902,595735388903,37001,1001167,0
1,113,10000000,595745351902,595745394778,42876,1000875,0
1,114,10000000,595755351902,595755388069,36167,1000750,0
1,115,10000000,595765351902,595765391944,40042,1001292,0
1,116,10000000,595775351902,595775388736,36834,1000750,0
1,117,10000000,595785351902,595785382778,30876,1000708,0
1,118,10000000,595795351902,595795386361,34459,1000166,0
1,119,10000000,595805351902,595805486236,134334,1000875,0
1,120,10000000,595815351902,595815389403,37501,1001458,0
1,121,10000000,595825351902,595825379236,27334,1000584,0
1,122,10000000,595835351902,595835388319,36417,1001125,0
1,123,10000000,595845351902,595845394028,42126,1000709,0
1,124,10000000,595855351902,595855391319,39417,1001083,0
1,125,10000000,595865351902,595865395111,43209,1000583,0
1,126,10000000,595875351902,595875388319,36417,1001167,0
1,127,10000000,595885351902,595885498903,147001,1000625,0
1,128,10000000,595895351902,595895395403,43501,1000291,0
1,129,10000000,595905351902,595905396236,44334,1000625,0
1,130,10000000,595915351902,595915390278,38376,1001250,0
1,131,10000000,595925351902,595925376778,24876,1000625,0
1,132,10000000,595935351902,595935381569,29667,1000583,0
1,133,10000000,595945351902,595945432569,80667,1001084,0
1,134,10000000,595955351902,595955392944,41042,1000500,0
1,135,10000000,595965351902,595965402111,50209,1000833,0
1,136,10000000,595975351902,595975390069,38167,1000167,0
1,137,10000000,595985351902,595985393861,41959,1000834,0
1,138,10000000,595995351902,595995396944,45042,1000708,0
1,139,10000000,596005351902,596005393069,41167,1000250,0
1,140,10000000,596015351902,596015393486,41584,1000167,0
1,141,10000000,596025351902,596025378111,26209,1000208,0
1,142,10000000,596035351902,596035390194,38292,1000792,0
2,1,20000000,594635996527,594636423777,427250,2001459,0
2,2,20000000,594655996527,594656412694,416167,2001084,0
2,3,20000000,594675996527,594676418861,422334,2000334,0
2,4,20000000,594695996527,594696411902,415375,2000958,0
2,5,20000000,594715996527,594716414069,417542,2000000,0
2,6,20000000,594735996527,594736414902,418375,2001042,0
2,7,20000000,594755996527,594756510194,513667,2001083,0
2,8,20000000,594775996527,594776415527,419000,2001083,0
2,9,20000000,594795996527,594796407361,410834,2001042,0
2,10,20000000,594815996527,594816409152,412625,2000208,0
2,11,20000000,594835996527,594836415736,419209,2001250,0
2,12,20000000,594855996527,594856408486,411959,2000208,0
2,13,20000000,594875996527,594876409986,413459,2001083,0
2,14,20000000,594895996527,594896411236,414709,2001083,0
2,15,20000000,594915996527,594916411361,414834,2000083,0
2,16,20000000,594935996527,594936410111,413584,2001083,0
2,17,20000000,594955996527,594956412111,415584,2001042,0
2,18,20000000,594975996527,594976430819,434292,2001250,0
2,19,20000000,594995996527,594996416819,420292,2001041,0
2,20,20000000,595015996527,595016413611,417084,2001083,0
2,21,20000000,595035996527,595036417152,420625,2000833,0
2,22,20000000,595055996527,595056412402,415875,2000417,0
2,23,20000000,595075996527,595076405277,408750,2000375,0
2,24,20000000,595095996527,595096406611,410084,2000792,0
2,25,20000000,595115996527,595116408194,411667,2001459,0
2,26,20000000,595135996527,595136411777,415250,2000333,0
2,27,20000000,595155996527,595156406861,410334,2000834,0
2,28,20000000,595175996527,595176406652,410125,2001084,0
2,29,20000000,595195996527,595196406611,410084,2001291,0
2,30,20000000,595215996527,595216411527,415000,2000208,0
2,31,20000000,595235996527,595236407444,410917,2001083,0
2,32,20000000,595255996527,595256408777,412250,2001083,0
2,33,20000000,595275996527,595276410986,414459,2001042,0
2,34,20000000,595295996527,595296410236,413709,2001083,0
2,35,20000000,595315996527,595316411069,414542,2000375,0
2,36,20000000,595335996527,595336413694,417167,2001083,0
2,37,20000000,595355996527,595356410152,413625,2001041,0
2,38,20000000,595375996527,595376404902,408375,2001041,0
2,39,20000000,595395996527,595396412027,415500,2001292,0
2,40,20000000,595415996527,595416406736,410209,2000791,0
2,41,20000000,595435996527,595436413861,417334,2001084,0
2,42,20000000,595455996527,595456405069,408542,2001083,0
2,43,20000000,595475996527,595476404569,408042,2001166,0
2,44,20000000,595495996527,595496411486,414959,2001083,0
2,45,20000000,595515996527,595516406236,409709,2000958,0
2,46,20000000,595535996527,595536412194,415667,2001291,0
2,47,20000000,595555996527,595556410194,413667,2001417,0
2,48,20000000,595575996527,595576413903,417376,2001458,0
2,49,20000000,595595996527,595596412778,416251,2001292,0
2,50,20000000,595615996527,595616403611,407084,2000875,0
2,51,20000000,595635996527,595636404903,408376,2000750,0
2,52,20000000,595655996527,595656407444,410917,2001083,0
2,53,20000000,595675996527,595676406903,410376,2001208,0
2,54,20000000,595695996527,595696417069,420542,2001042,0
2,55,20000000,595715996527,595716407903,411376,2000875,0
2,56,20000000,595735996527,595736411944,415417,2000125,0
2,57,20000000,595755996527,595756407361,410834,2001083,0
2,58,20000000,595775996527,595776407861,411334,2001042,0
2,59,20000000,595795996527,595796405278,408751,2001084,0
2,60,20000000,595815996527,595816410486,413959,2000666,0
2,61,20000000,595835996527,595836408736,412209,2001042,0
2,62,20000000,595855996527,595856411444,414917,2000833,0
2,63,20000000,595875996527,595876408069,411542,2001042,0
2,64,20000000,595895996527,595896415694,419167,2000958,0
2,65,20000000,595915996527,595916409986,413459,2000625,0
2,66,20000000,595935996527,595936402653,406126,2001083,0
2,67,20000000,595955996527,595956417986,421459,2000166,0
2,68,20000000,595975996527,595976409944,413417,2001041,0
2,69,20000000,595995996527,595996418028,421501,2001083,0
2,70,20000000,596015996527,596016412653,416126,2000708,0
2,71,20000000,596035996527,596037501444,1504917,2001458,0
3,1,100000000,594716791361,594718434611,1643250,10001333,0
3,2,100000000,594816791361,594818429819,1638458,10001042,0
3,3,100000000,594916791361,594918429319,1637958,10001375,0
3,4,100000000,595016791361,595018434069,1642708,10000750,0
3,5,100000000,595116791361,595118427569,1636208,10001125,0
3,6,100000000,595216791361,595218433361,1642000,10000916,0
3,7,100000000,595316791361,595318430444,1639083,10000542,0
3,8,100000000,595416791361,595418425444,1634083,10001458,0
3,9,100000000,595516791361,595518428486,1637125,10000000,0
3,10,100000000,595616791361,595618422819,1631458,10001250,0
3,11,100000000,595716791361,595718427028,1635667,10000333,0
3,12,100000000,595816791361,595818429486,1638125,10000500,0
3,13,100000000,595916791361,595918428361,1637000,10001292,0
3,14,100000000,596016791361,596018434819,1643458,10000250,0
3,15,100000000,596116791361,596116863694,72333,10000625,0
