thread_id,iteration,period_ns,scheduled_ns,actual_ns,jitter_ns,work_ns,deadline_missed
1,1,10000000,2386104561714,2386108274375,3712661,1001127,0
1,2,10000000,2386114561714,2386120229491,5667777,1001128,0
1,3,10000000,2386124561714,2386128295387,3733673,1000211,0
1,4,10000000,2386134561714,2386140232502,5670788,1071586,0
1,5,10000000,2386144561714,2386148290523,3728809,1000003,0
1,6,10000000,2386154561714,2386161785059,7223345,1000627,0
1,7,10000000,2386164561714,2386168293826,3732112,1000628,0
1,8,10000000,2386174561714,2386181813612,7251898,1000586,0
1,9,10000000,2386184561714,2386188315338,3753624,1001294,0
1,10,10000000,2386194561714,2386200302078,5740364,1001086,0
1,11,10000000,2386204561714,2386205542425,980711,1000836,0
1,12,10000000,2386214561714,2386218251667,3689953,1000628,0
1,13,10000000,2386224561714,2386224688851,127137,1001419,0
1,14,10000000,2386234561714,2386240149726,5588012,1000211,0
1,15,10000000,2386244561714,2386244713654,151940,1000670,0
1,16,10000000,2386254561714,2386264195831,9634117,1001378,1
1,17,10000000,2386264561714,2386265251834,690120,1000169,0
1,18,10000000,2386274561714,2386278260077,3698363,6034974,0
1,19,10000000,2386284561714,2386284667427,105713,1000336,0
1,20,10000000,2386294561714,2386296950376,2388662,1000461,0
1,21,10000000,2386304561714,2386304680064,118350,1000794,0
1,22,10000000,2386314561714,2386322245610,7683896,1000711,0
1,23,10000000,2386324561714,2386324655617,93903,1000461,0
1,24,10000000,2386334561714,2386338190861,3629147,1000628,0
1,25,10000000,2386344561714,2386344683753,122039,1000878,0
1,26,10000000,2386354561714,2386360232919,5671205,1001086,0
1,27,10000000,2386364561714,2386368216857,3655143,1001461,0
1,28,10000000,2386374561714,2386379275637,4713923,1001378,0
1,29,10000000,2386384561714,2386388213660,3651946,1001377,0
1,30,10000000,2386394561714,2386404220453,9658739,1001502,1
1,31,10000000,2386404561714,2386406226916,1665202,1000753,0
1,32,10000000,2386414561714,2386415768650,1206936,1001503,0
1,33,10000000,2386424561714,2386424694215,132501,1001086,0
1,34,10000000,2386434561714,2386440234548,5672834,1001086,0
1,35,10000000,2386444561714,2386448535404,3973690,1001127,0
1,36,10000000,2386454561714,2386460204893,5643179,1000961,0
1,37,10000000,2386464561714,2386467124828,2563114,1063295,0
1,38,10000000,2386474561714,2386478249983,3688269,6198683,0
1,39,10000000,2386484561714,2386484671708,109994,1000294,0
1,40,10000000,2386494561714,2386494649526,87812,1000961,0
1,41,10000000,2386504561714,2386504687386,125672,1000419,0
1,42,10000000,2386514561714,2386518137172,3575458,1001086,0
1,43,10000000,2386524561714,2386528211657,3649943,1001128,0
1,44,10000000,2386534561714,2386544226408,9664694,1000044,1
1,45,10000000,2386544561714,2386545289994,728280,1000544,0
1,46,10000000,2386554561714,2386558006486,3444772,1000003,0
1,47,10000000,2386564561714,2386572189524,7627810,1001461,0
1,48,10000000,2386574561714,2386580147545,5585831,1224920,0
1,49,10000000,2386584561714,2386586542687,1980973,1001294,0
1,50,10000000,2386594561714,2386608228120,13666406,1000128,1
1,51,10000000,2386604561714,2386609305873,4744159,1000628,0
1,52,10000000,2386614561714,2386617870812,3309098,1000794,0
1,53,10000000,2386624561714,2386624662288,100574,1000753,0
1,54,10000000,2386634561714,2386638275908,3714194,1000961,0
1,55,10000000,2386644561714,2386644686717,125003,1000336,0
1,56,10000000,2386654561714,2386660301967,5740253,1000294,0
1,57,10000000,2386664561714,2386668371530,3809816,1001378,0
1,58,10000000,2386674561714,2386680301270,5739556,1000003,0
1,59,10000000,2386684561714,2386684655073,93359,1000586,0
1,60,10000000,2386694561714,2386706039588,11477874,2181298,1
1,61,10000000,2386704561714,2386708275011,3713297,1000252,0
1,62,10000000,2386714561714,2386716194157,1632443,1001461,0
1,63,10000000,2386724561714,2386724676429,114715,1000878,0
1,64,10000000,2386734561714,2386740291638,5729924,1000211,0
1,65,10000000,2386744561714,2386748376076,3814362,1001295,0
1,66,10000000,2386754561714,2386764227201,9665487,1001461,1
1,67,10000000,2386764561714,2386765346371,784657,1000627,0
1,68,10000000,2386774561714,2386780263077,5701363,1001419,0
1,69,10000000,2386784561714,2386788339765,3778051,1000211,0
1,70,10000000,2386794561714,2386806418855,11857141,1000127,1
1,71,10000000,2386804561714,2386808444610,3882896,3890427,0
1,72,10000000,2386814561714,2386814649585,87871,1000627,0
1,73,10000000,2386824561714,2386828281830,3720116,1001128,0
1,74,10000000,2386834561714,2386839437110,4875396,1000961,0
1,75,10000000,2386844561714,2386844685748,124034,1001294,0
1,76,10000000,2386854561714,2386860289040,5727326,1000378,0
1,77,10000000,2386864561714,2386866229597,1667883,1000253,0
1,78,10000000,2386874561714,2386880181551,5619837,1000086,0
1,79,10000000,2386884561714,2386888615949,4054235,1000002,0
1,80,10000000,2386894561714,2386902258652,7696938,1001003,0
1,81,10000000,2386904561714,2386908277834,3716120,1001044,0
1,82,10000000,2386914561714,2386918212444,3650730,1000045,0
1,83,10000000,2386924561714,2386924681628,119914,1000920,0
1,84,10000000,2386934561714,2386940170252,5608538,1001044,0
1,85,10000000,2386944561714,2386948276149,3714435,1000336,0
1,86,10000000,2386954561714,2386958269634,3707920,1001211,0
1,87,10000000,2386964561714,2386964696526,134812,1001461,0
1,88,10000000,2386974561714,2386980230609,5668895,1000045,0
1,89,10000000,2386984561714,2386988269672,3707958,1000878,0
1,90,10000000,2386994561714,2387006282887,11721173,1000628,1
1,91,10000000,2387004561714,2387012221569,7659855,1000377,0
1,92,10000000,2387014561714,2387020179257,5617543,1001127,0
1,93,10000000,2387024561714,2387027529485,2967771,1001127,0
1,94,10000000,2387034561714,2387036085549,1523835,1000627,0
1,95,10000000,2387044561714,2387044676655,114941,1000961,0
1,96,10000000,2387054561714,2387060230030,5668316,1001295,0
