thread_id,iteration,period_ns,scheduled_ns,actual_ns,jitter_ns,work_ns,deadline_missed
1,1,10000000,1230711930901,1230712076329,145428,1000043,0
1,2,10000000,1230721930901,1230722015090,84189,1001377,0
1,3,10000000,1230731930901,1230731965477,34576,1001043,0
1,4,10000000,1230741930901,1230742022113,91212,1000210,0
1,5,10000000,1230751930901,1230751974249,43348,1000543,0
1,6,10000000,1230761930901,1230762025261,94360,1001418,0
1,7,10000000,1230771930901,1230771967564,36663,1000793,0
1,8,10000000,1230781930901,1230782019992,89091,1000584,0
1,9,10000000,1230791930901,1230792068295,137394,1000001,0
1,10,10000000,1230801930901,1230802057056,126155,1000543,0
1,11,10000000,1230811930901,1230811965317,34416,1000084,0
1,12,10000000,1230821930901,1230822025120,94219,1000835,0
1,13,10000000,1230831930901,1230832163257,232356,1000501,0
1,14,10000000,1230841930901,1230842075185,144284,1001293,0
1,15,10000000,1230851930901,1230852172571,241670,1001459,0
1,16,10000000,1230861930901,1230862021707,90806,1000751,0
1,17,10000000,1230871930901,1230871963302,32401,1000084,0
1,18,10000000,1230881930901,1230882023272,92371,1001334,0
1,19,10000000,1230891930901,1230892063783,132882,1000001,0
1,20,10000000,1230901930901,1230902007836,76935,1000126,0
1,21,10000000,1230911930901,1230911958181,27280,1000292,0
1,22,10000000,1230921930901,1230922066150,135249,1001209,0
1,23,10000000,1230931930901,1230932070412,139511,1001376,0
1,24,10000000,1230941930901,1230942031715,100814,1000668,0
1,25,10000000,1230951930901,1230952085726,154825,1001418,0
1,26,10000000,1230961930901,1230962074071,143170,1001292,0
1,27,10000000,1230971930901,1230972118957,188056,1001460,0
1,28,10000000,1230981930901,1230982023343,92442,1000376,0
1,29,10000000,1230991930901,1230991969021,38120,1000084,0
1,30,10000000,1231001930901,1231002022783,91882,1001084,0
1,31,10000000,1231011930901,1231011970085,39184,1000668,0
1,32,10000000,1231021930901,1231022062764,131863,1000792,0
1,33,10000000,1231031930901,1231032058692,127791,1001167,0
1,34,10000000,1231041930901,1231042026078,95177,1000918,0
1,35,10000000,1231051930901,1231051966881,35980,1000668,0
1,36,10000000,1231061930901,1231062027934,97033,1000001,0
1,37,10000000,1231071930901,1231071997695,66794,1001209,0
1,38,10000000,1231081930901,1231082005998,75097,1000626,0
1,39,10000000,1231091930901,1231092048801,117900,1000918,0
1,40,10000000,1231101930901,1231102075854,144953,1001459,0
1,41,10000000,1231111930901,1231111970740,39839,1000918,0
1,42,10000000,1231121930901,1231122030418,99517,1001252,0
1,43,10000000,1231131930901,1231132077805,146904,1000959,0
1,44,10000000,1231141930901,1231142079941,149040,1000585,0
1,45,10000000,1231151930901,1231152095494,164593,1000126,0
1,46,10000000,1231161930901,1231162069755,138854,1000751,0
1,47,10000000,1231171930901,1231172064725,133824,1001127,0
1,48,10000000,1231181930901,1231182071986,141085,1000918,0
1,49,10000000,1231191930901,1231192080373,149472,1001085,0
1,50,10000000,1231201930901,1231202081801,150900,1000834,0
1,51,10000000,1231211930901,1231211958687,27786,1000960,0
1,52,10000000,1231221930901,1231222024115,93214,1001168,0
1,53,10000000,1231231930901,1231232222585,291684,1001168,0
1,54,10000000,1231241930901,1231242053596,122695,1000376,0
1,55,10000000,1231251930901,1231252066357,135456,1001043,0
